,ville,date,temp_max_matin,temp_max_aprem,precip_matin,precip_aprem,desc_matin,desc_aprem
0,Le Havre,2025-09-25,15.26,15.74,0.0,0.0,ciel dégagé,nuageux
1,Le Havre,2025-09-26,12.1,14.54,0.0,0.0,couvert,couvert
2,Le Havre,2025-09-27,12.5,16.03,0.0,0.0,nuageux,couvert
3,Le Havre,2025-09-28,14.43,15.57,0.0,0.13,couvert,légère pluie
4,Le Havre,2025-09-29,16.06,16.2,0.0,0.0,ciel dégagé,couvert
5,Nimes,2025-09-25,15.99,20.04,0.0,0.0,ciel dégagé,nuageux
6,Nimes,2025-09-26,17.36,21.58,0.0,0.0,nuageux,peu nuageux
7,Nimes,2025-09-27,16.53,23.11,0.0,0.0,couvert,nuageux
8,Nimes,2025-09-28,18.72,22.16,0.0,0.0,couvert,couvert
9,Nimes,2025-09-29,19.22,24.29,0.0,0.0,couvert,couvert
10,Saint Malo,2025-09-25,15.29,16.43,0.21,0.0,légère pluie,partiellement nuageux
11,Saint Malo,2025-09-26,14.28,15.71,0.0,0.0,ciel dégagé,couvert
12,Saint Malo,2025-09-27,13.22,19.49,0.0,0.0,couvert,couvert
13,Saint Malo,2025-09-28,14.58,15.82,0.82,0.0,légère pluie,nuageux
14,Saint Malo,2025-09-29,15.83,16.28,0.0,0.0,ciel dégagé,couvert
15,Besancon,2025-09-25,12.1,12.83,0.0,1.1,couvert,légère pluie
16,Besancon,2025-09-26,10.85,10.04,0.0,3.02,couvert,pluie modérée
17,Besancon,2025-09-27,12.02,15.1,0.33,0.97,légère pluie,légère pluie
18,Besancon,2025-09-28,14.5,17.43,0.0,0.0,ciel dégagé,ciel dégagé
19,Besancon,2025-09-29,14.96,18.03,0.0,0.0,partiellement nuageux,peu nuageux
20,Bayonne,2025-09-25,14.91,19.67,0.12,0.0,légère pluie,nuageux
21,Bayonne,2025-09-26,15.26,16.91,0.0,0.0,ciel dégagé,ciel dégagé
22,Bayonne,2025-09-27,17.02,23.2,0.0,0.0,couvert,nuageux
23,Bayonne,2025-09-28,19.54,20.08,0.0,0.0,couvert,couvert
24,Bayonne,2025-09-29,18.84,19.34,0.0,0.0,partiellement nuageux,partiellement nuageux
25,Lille,2025-09-25,11.34,10.77,0.0,0.0,ciel dégagé,nuageux
26,Lille,2025-09-26,10.32,14.97,0.0,0.0,couvert,nuageux
27,Lille,2025-09-27,12.25,16.72,0.0,0.0,couvert,couvert
28,Lille,2025-09-28,13.95,18.84,0.0,0.0,peu nuageux,couvert
29,Lille,2025-09-29,16.01,20.84,0.0,0.0,ciel dégagé,ciel dégagé
30,La Rochelle,2025-09-25,12.03,17.71,0.0,0.0,ciel dégagé,nuageux
