,ville,latitude,longitude,id,ville-1
0,Le Havre,49.4938975,0.1079732,0,Havre-de-Grâce
1,Nimes,43.8374249,4.3600687,1,Nîmes
2,Saint Malo,48.6495180,-2.0260409,2,Saint-Malo
3,Besancon,47.2380222,6.0243622,3,Besançon
4,Bayonne,43.4945144,-1.4736657,4,Le Limpou
5,Lille,50.6365654,3.0635282,5,Lille
6,La Rochelle,46.1597320,-1.1515951,6,La Rochelle
7,Bormes les Mimosas,43.1506968,6.3419285,7,Bormes-les-Mimosas
8,Saintes Maries de la mer,43.4515922,4.4277202,8,Saintes-Maries-de-la-Mer
9,Mont Saint Michel,48.6359541,-1.5114600,9,Huisnes-sur-Mer
10,Gorges du Verdon,43.7496562,6.3285616,10,Bauduen
11,Foix,42.9638998,1.6053807,11,Foix
12,Collioure,42.5250500,3.0831554,12,Collioure
13,Uzes,44.0121279,4.4196718,13,Uzès
14,Biarritz,43.4711437,-1.5527266,14,La Négresse
15,Cassis,43.2140359,5.5396318,15,Cassis
16,Bayeux,49.2764624,-0.7024738,16,Bayeux
17,Eguisheim,48.0447968,7.3079618,17,Eguisheim
18,Lyon,45.7578137,4.8320114,18,Vieux Lyon
19,Colmar,48.0777517,7.3579641,19,Colmar
20,Aigues Mortes,43.5661521,4.1915400,20,Aigues-Mortes
21,Aix en Provence,43.5298424,5.4474738,21,Aix-en-Provence
22,Grenoble,45.1875602,5.7357819,22,Grenoble
23,Rouen,49.4404591,1.0939658,23,Rouen
24,Amiens,49.8941708,2.2956951,24,Amiens
25,Marseille,43.2961743,5.3699525,25,Marseille
26,Avignon,43.9492493,4.8059012,26,Avignon
27,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,27,Saint-Hippolyte
28,Annecy,45.8992348,6.1288847,28,Annecy
29,Carcassonne,43.2130358,2.3491069,29,Carcassonne
30,Dijon,47.3215806,5.0414701,30,Larrey
31,Toulouse,43.6044638,1.4442433,31,Toulouse
32,Montauban,44.0175835,1.3549991,32,Montauban
33,Strasbourg,48.5846140,7.7507127,33,Strasbourg
34,Paris,48.8588897,2.3200410,34,Quartier du Palais-Royal
