name,description,url,rating,latitude,longitude
Maison avec bassin dans les remparts,,https://www.booking.com/hotel/fr/maison-avec-bassin-dans-les-remparts.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,5",,
Hotel Les Templiers,"Aménagé au sein d'une maison de marchand datant du XVIIIe siècle, l'Hotel Les Templiers se situe dans la ville fortifiée d'Aigues-Mortes, dans le sud de la France. Cet établissement propose des hébergements climatisés, dotés d'une télévision et d'une salle de bains privative.

L'Hotel Les Templiers sert chaque matin un petit-déjeuner continental. Un bar et un jardin sont à votre disposition. Une connexion Wi-Fi est disponible gratuitement à la réception de l'hôtel ouverte 24h/24.

Vous pourrez découvrir les étangs de la Ville et de la Marette, situés à proximité du Templiers Hotel. Le parcours de golf de La Grande Motte est à seulement 7 km. Vous pourrez accéder à un parking public payant voisin.",https://www.booking.com/hotel/fr/les-templiers.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 8,8",43.56694564615619,4.191873460958959
Lou Mirèio,"L’hébergement Lou Mirèio se situe à Aigues-Mortes, à respectivement 24 km et 28 km de ces lieux d’intérêt : Salle de concert Arena Montpellier et Zénith Sud Montpellier. Il propose une connexion Wi-Fi gratuite et la climatisation. Cet appartement 3 étoiles offre une vue sur la ville et est à 23 km de : Parc des expositions de Montpellier.

Cet appartement comporte 1 chambre, une cuisine avec un réfrigérateur et un four, ainsi que 1 salle de bains avec une douche, un sèche-cheveux et un lave-linge. Des serviettes et du linge de lit sont à disposition.

Vous séjournerez à respectivement 29 km et 31 km de ces lieux d’intérêt : Centre commercial régional Odysseum et Hôtel de ville de Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.",https://www.booking.com/hotel/fr/42-rue-pasteur.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,6",43.566074978303,4.192578573016
Ô 36 Rempart Sud B&B,,https://www.booking.com/hotel/fr/o-36-rempart-sud.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,0",,
Appartements 3 étoiles terrasse ou patio intra-muros,"L’établissement Appartements 3 étoiles terrasse ou patio intra-muros se trouve à Aigues-Mortes, à respectivement 23 km et 24 km de ces lieux d’intérêt : Parc des expositions de Montpellier et Salle de concert Arena Montpellier. Il propose une connexion Wi-Fi gratuite et offre une vue sur la ville.

Les hébergements comprennent la climatisation et une télévision à écran plat. Vous bénéficierez d’une kitchenette entièrement équipée avec un coin repas, ainsi que d’une salle de bains privative comportant une douche, des articles de toilette gratuits et un sèche-cheveux. Un réfrigérateur, un micro-ondes et une plaque de cuisson sont également disponibles, de même qu’une machine à café et une bouilloire.

Vous pourrez profiter d’une terrasse et d’un barbecue sur place, et pratiquer la randonnée ainsi que la pêche dans les environs.

Vous séjournerez à respectivement 28 km et 29 km de ces lieux d’intérêt : Zénith Sud Montpellier et Centre commercial régional Odysseum. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.",https://www.booking.com/hotel/fr/appartement-3-etoiles-terrasse-intra-muros.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,6",43.5653584,4.1927502
La Chambre Côté Piscine,"Situé à Aigues-Mortes, l’hébergement La Chambre Côté Piscine offre une vue sur la piscine. Il comprend une piscine extérieure, un jardin, une terrasse et une connexion Wi-Fi gratuite. Cet hébergement avec climatisation est installé à 23 km de : Parc des expositions de Montpellier.

Cette chambre d'hôtes comprend une télévision à écran plat. Des serviettes et du linge de lit sont à votre disposition.

L’établissement La Chambre Côté Piscine sert un petit-déjeuner à la carte ou continental.

Vous séjournerez à respectivement 24 km et 28 km de ces lieux d’intérêt : Salle de concert Arena Montpellier et Zénith Sud Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 30 km.",https://www.booking.com/hotel/fr/la-chambre-cote-piscine.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,Avec une note de 10,43.5720862,4.1963892
Maison Arthur,"L’établissement Maison Arthur vous accueille à 23 km de ce lieu d’intérêt : Parc des expositions de Montpellier. Il comprend une connexion Wi-Fi gratuite et un parking privé gratuit.

Les hébergements sont dotés d’une terrasse, de la climatisation et d’une télévision à écran plat. Leur salle de bains privative comprend une douche et des articles de toilette gratuits. Certains logements disposent également d’une cuisine équipée d’un réfrigérateur, d’un lave-vaisselle et d’un micro-ondes.

Vous séjournerez à respectivement 24 km et 28 km de ces lieux d’intérêt : Salle de concert Arena Montpellier et Zénith Sud Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.",https://www.booking.com/hotel/fr/maison-arthur.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,0",43.5659428,4.1924
"Appartement centre village, clim et parking gratuit",,https://www.booking.com/hotel/fr/appartement-centre-village-clim-et-parking-gratuit.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,4",,
Belle marina avec ponton et piscine collective,"L’hébergement Belle marina avec ponton et piscine collective vous accueille à Aigues-Mortes, à seulement 23 km de ce lieu d’intérêt : Parc des expositions de Montpellier. Il offre une vue sur le cours d’eau et comprend une connexion Wi-Fi gratuite ainsi qu’un parking privé gratuit. Cet hébergement offre une vue sur le jardin et propose un balcon.

Bénéficiant d’une terrasse et offrant une vue sur la ville, cette maison de vacances comprend 2 chambres, un salon, une télévision à écran plat par satellite, une cuisine équipée, ainsi que 1 salle de bains avec une douche et une baignoire. Des serviettes et du linge de lit moyennant des frais supplémentaires.

Vous séjournerez à respectivement 24 km et 28 km de ces lieux d’intérêt : Salle de concert Arena Montpellier et Zénith Sud Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.",https://www.booking.com/hotel/fr/marina-avec-appontement-aigues-mortes.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,1",43.5750022,4.1862674
"Maison cosy, 2 chambres, adossée aux remparts","L’hébergement Maison cosy, 2 chambres, adossée aux remparts vous accueille à respectivement 23 km et 24 km de ces lieux d’intérêt : Parc des expositions de Montpellier et Salle de concert Arena Montpellier. Il comprend une connexion Wi-Fi gratuite et une terrasse. Cette maison de vacances est à respectivement 28 km et 28 km de : Zénith Sud Montpellier et Centre commercial régional Odysseum.

Cette maison de vacances avec climatisation comporte 2 chambres, une télévision à écran plat, un coin repas, ainsi qu’une cuisine avec un réfrigérateur et un lave-vaisselle. Des serviettes et du linge de lit sont à votre disposition.

Vous séjournerez à respectivement 31 km et 32 km de ces lieux d’intérêt : Hôtel de ville de Montpellier et Le Corum. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.",https://www.booking.com/hotel/fr/maison-cosy-2-chambres-adossee-aux-remparts.fr.html?aid=304142&label=gen173nr-10CAQoggJCHHNlYXJjaF9haWd1ZXMgbW9ydGVzLCBmcmFuY2VIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_R5sUGwAIB0gIkMjkzMDFhMjYtOWEwYS00ZDhkLTllZDgtZTg5ODBhYzE2M2Nk2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=6e7b6937b6a6045f&srepoch=1756997873&from=searchresults,"Avec une note de 9,7",43.5676511,4.1915496
